Reaction Date,Reaction Type,Parent Type,Parent ID
"Jan 27, 2024, 5:57:45 PM",Kudos,Activity,10639811283
"Jan 27, 2024, 5:57:54 PM",Kudos,Activity,10640037160
"Jan 27, 2024, 5:58:16 PM",Kudos,Activity,10635084379
"Jan 29, 2024, 1:31:46 PM",Kudos,Activity,10641756407
"Jan 31, 2024, 2:05:18 PM",Kudos,Activity,10656242387
"Jan 31, 2024, 2:05:22 PM",Kudos,Activity,10656836906
"Jan 31, 2024, 2:05:35 PM",Kudos,Activity,10657173229
"Jan 31, 2024, 2:05:52 PM",Kudos,Activity,10648554609
"Jan 31, 2024, 2:06:27 PM",Kudos,Activity,10653760316
"Jan 31, 2024, 2:06:51 PM",Kudos,Post,27552143
"Jan 31, 2024, 10:26:08 PM",Kudos,Activity,10668203141
"Jan 31, 2024, 10:26:14 PM",Kudos,Activity,10670435867
"Feb 3, 2024, 7:50:37 PM",Kudos,Activity,10689274020
"Feb 3, 2024, 7:50:43 PM",Kudos,Activity,10689277264
"Feb 8, 2024, 1:04:14 AM",Kudos,Activity,10695139271
"Feb 8, 2024, 1:04:20 AM",Kudos,Activity,10702427752
"Feb 10, 2024, 4:22:00 PM",Kudos,Activity,10734789563
"Feb 10, 2024, 11:19:20 PM",Kudos,Activity,10735009677
"Feb 10, 2024, 11:19:33 PM",Kudos,Activity,10735900653
"Feb 10, 2024, 11:19:37 PM",Kudos,Activity,10735973445
"Feb 10, 2024, 11:19:38 PM",Kudos,Activity,10736383379
"Feb 11, 2024, 1:49:58 PM",Kudos,Activity,10737291187
"Feb 12, 2024, 3:09:29 PM",Kudos,Activity,10746912087
"Feb 12, 2024, 3:10:03 PM",Kudos,Activity,10742246295
"Feb 12, 2024, 3:10:15 PM",Kudos,Activity,10740950249
"Feb 13, 2024, 10:27:35 PM",Kudos,Activity,10750506832
"Feb 13, 2024, 10:27:51 PM",Kudos,Activity,10756364770
"Feb 13, 2024, 10:28:10 PM",Kudos,Activity,10747456938
"Feb 13, 2024, 10:28:28 PM",Kudos,Activity,10749007301
"Feb 13, 2024, 10:28:48 PM",Kudos,Activity,10753939566
"Feb 16, 2024, 4:06:15 AM",Kudos,Activity,10757387420
"Feb 18, 2024, 5:20:56 PM",Kudos,Activity,10788652071
"Feb 18, 2024, 5:20:58 PM",Kudos,Activity,10788846963
"Feb 18, 2024, 5:21:07 PM",Kudos,Activity,10782204729
"Feb 18, 2024, 8:50:11 PM",Kudos,Activity,10789183521
"Feb 19, 2024, 12:27:32 PM",Kudos,Activity,10790496375
"Feb 19, 2024, 12:27:50 PM",Kudos,Activity,10791303996
"Feb 20, 2024, 8:47:16 PM",Kudos,Activity,10802922393
"Feb 20, 2024, 8:47:20 PM",Kudos,Activity,10803131279
"Feb 20, 2024, 8:47:34 PM",Kudos,Activity,10801117036
"Feb 20, 2024, 8:47:44 PM",Kudos,Activity,10797236669
"Feb 20, 2024, 8:48:08 PM",Kudos,Post,27988756
"Feb 23, 2024, 2:21:35 AM",Kudos,Activity,10817485231
"Feb 23, 2024, 2:21:46 AM",Kudos,Activity,10808490687
"Feb 23, 2024, 2:21:55 AM",Kudos,Activity,10811620093
"Feb 25, 2024, 5:49:39 PM",Kudos,Activity,10835304866
"Feb 25, 2024, 5:49:50 PM",Kudos,Activity,10828272660
"Feb 25, 2024, 5:49:54 PM",Kudos,Activity,10835632217
"Feb 25, 2024, 5:50:03 PM",Kudos,Activity,10829662785
"Feb 25, 2024, 5:50:16 PM",Kudos,Activity,10829006047
"Feb 25, 2024, 5:52:17 PM",Kudos,Activity,10822806915
"Feb 26, 2024, 5:51:11 PM",Kudos,Activity,10836698666
"Feb 26, 2024, 5:51:26 PM",Kudos,Activity,10837031775
"Mar 2, 2024, 8:06:51 PM",Kudos,Activity,10876320540
"Mar 2, 2024, 8:07:06 PM",Kudos,Activity,10876266311
"Mar 3, 2024, 5:29:19 PM",Kudos,Activity,10882306590
"Mar 4, 2024, 8:34:59 PM",Kudos,Activity,10890351747
"Mar 4, 2024, 8:36:14 PM",Kudos,Activity,10883705270
"Mar 5, 2024, 8:14:07 PM",Kudos,Activity,10897300612
"Mar 8, 2024, 3:51:56 PM",Kudos,Activity,10916551204
"Mar 8, 2024, 3:52:42 PM",Kudos,Post,28293998
"Mar 8, 2024, 3:52:46 PM",Kudos,Activity,10914034598
"Mar 8, 2024, 3:52:53 PM",Kudos,Activity,10915709599
"Mar 11, 2024, 2:23:06 AM",Kudos,Activity,10931915910
"Mar 11, 2024, 2:23:09 AM",Kudos,Activity,10932958805
"Mar 11, 2024, 2:23:17 AM",Kudos,Activity,10930915005
"Mar 13, 2024, 2:58:13 AM",Kudos,Activity,10947142193
"Mar 14, 2024, 1:50:20 AM",Kudos,Activity,10954609422
"Mar 14, 2024, 1:50:46 AM",Kudos,Activity,10951410752
"Mar 14, 2024, 1:51:47 AM",Kudos,Activity,10947945115
"Mar 14, 2024, 1:51:54 AM",Kudos,Activity,10951731956
"Mar 17, 2024, 11:37:39 PM",Kudos,Activity,10981236844
"Mar 17, 2024, 11:37:41 PM",Kudos,Activity,10982121750
"Mar 17, 2024, 11:37:45 PM",Kudos,Activity,10982860136
"Mar 17, 2024, 11:37:49 PM",Kudos,Activity,10982416080
"Mar 17, 2024, 11:37:53 PM",Kudos,Activity,10979871034
"Mar 18, 2024, 11:37:07 AM",Kudos,Activity,10982600329
"Mar 19, 2024, 1:45:29 AM",Kudos,Activity,10989048136
"Mar 19, 2024, 9:29:04 PM",Kudos,Activity,10995743866
"Mar 19, 2024, 9:29:32 PM",Kudos,Activity,10989608466
"Mar 19, 2024, 9:30:00 PM",Kudos,Activity,10989941156
"Mar 20, 2024, 12:55:37 AM",Kudos,Activity,10997266787
"Mar 20, 2024, 10:16:26 AM",Kudos,Activity,10997619228
"Mar 22, 2024, 12:22:28 AM",Kudos,Activity,11011489349
"Mar 22, 2024, 12:22:33 AM",Kudos,Activity,11004565863
"Mar 22, 2024, 12:22:38 AM",Kudos,Activity,11007420340
"Mar 22, 2024, 12:22:40 AM",Kudos,Activity,11005185659
"Mar 22, 2024, 12:22:44 AM",Kudos,Activity,11003716450
"Mar 22, 2024, 12:23:10 AM",Kudos,Activity,11009333031
